id,Name,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
0,Brighton Farmers Market ,42.34787167457793,-71.15368634382988,D32028,0.30571633427190453,D32029,0.5593735004158729,D32054,0.6853107560145776,D32033,0.8628672232704073,D32031,1.096804322628077
1,Dorchester Winter Farmers Market,42.28996,-71.07184,C32038,0.04152721772719209,C32055,0.2948775795386171,C32110,0.5661658612502859,E32009,0.6001196716392123,C32066,0.7889846340478214
2,East Boston Farmers Market ,42.37523096217105,-71.04067286270865,A32041,0.12487719960910645,A32036,0.21505491143593441,A32033,0.5769423523709594,A32031,0.6408155908068671,A32032,0.6633895133893493
3,WeGrowMicrogreens,42.242853655774326,-71.13669254708356,C32104,1.7398424401549248,E32013,1.94495920535504,E32014,3.0257219370025865,C32106,3.152501477313877,C32079,4.31583875951725
4,JP Centre St Farmers Market,42.31217347723417,-71.11437003420234,E32001,0.3573596015912742,E32005,0.6059741187142961,D32052,0.6895699141212824,D32040,0.8348422768040263,D32041,0.981079761410303
5,Roslindale Farmers Market,42.286544565592784,-71.12844091350875,C32046,0.03275656046243863,C32047,0.08149973654715752,C32059,0.6833074523844407,C32048,0.9052209999286419,C32079,1.2835933015474912
6,Dudley Town Common Farmers Market,42.32511493677896,-71.07487582035198,C32015,0.046263156783277,C32022,0.7099600219227611,B32017,0.908234359225466,B32026,1.0017429833026579,B32022,1.0173024424553878
